reason,content_id,content_type_id,title,addr1,addr2,area_code,sigungu_code,source_file,주석_실제제외사유,주석_reason해석,주석_근거함수
unmatched_address,3533003,32,글림풀빌라,강원특별자치도 양양군 현남면 동산큰길 11,,32,7,raw/q07_p0001.json,주소가 강원특별자치도 양양군로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,2801593,32,도그밀리(DOGMILY),강원특별자치도 평창군 방림면 감동지길 100,,32,15,raw/q07_p0001.json,주소가 강원특별자치도 평창군로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,2757631,32,라마다호텔&스위트평창,강원특별자치도 평창군 대관령면 오목길 107,,32,15,raw/q07_p0001.json,주소가 강원특별자치도 평창군로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,3044585,32,바다내음펜션,강원특별자치도 평창군 봉평면 흥정계곡길 410,,32,15,raw/q07_p0001.json,주소가 강원특별자치도 평창군로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,138900,32,보노펜션,강원특별자치도 양양군 손양면 선사유적로 240-29,,32,7,raw/q07_p0001.json,주소가 강원특별자치도 양양군로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,979536,32,복골온천펜션,강원특별자치도 양양군 강현면 복골길201번길 58,,32,7,raw/q07_p0001.json,주소가 강원특별자치도 양양군로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,1972030,32,상유재,강원특별자치도 정선군 정선읍 봉양3길 22-8,,32,11,raw/q07_p0001.json,주소가 강원특별자치도 정선군로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,138661,32,샬레리조트,강원특별자치도 평창군 봉평면 석이바우길 71-20,,32,15,raw/q07_p0001.json,주소가 강원특별자치도 평창군로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,3533009,32,인스턴트호텔,강원특별자치도 양양군 현남면 동산큰길 80,층,32,7,raw/q07_p0001.json,주소가 강원특별자치도 양양군로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,2433873,32,인제스피디움,강원특별자치도 인제군 기린면 상하답로 130,,32,10,raw/q07_p0001.json,주소가 강원특별자치도 인제군로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,951444,32,홀리데이인&스위트 알펜시아 평창,강원특별자치도 평창군 대관령면 솔봉로 325,,32,15,raw/q07_p0001.json,주소가 강원특별자치도 평창군로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,2558052,39,고목,강원특별자치도 춘천시 남산면 남이섬길 1,남이섬 내 중앙잣나무길 중간,32,13,raw/q08_p0001.json,주소가 강원특별자치도 춘천시로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,2782917,39,글라스하우스,강원특별자치도 고성군 토성면 천진해변길 43,,32,2,raw/q08_p0001.json,주소가 강원특별자치도 고성군로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,2665662,39,사니다카페,강원특별자치도 원주시 호저면 칠봉로 109-127,,32,9,raw/q08_p0001.json,주소가 강원특별자치도 원주시로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,2558084,39,섬향기,강원특별자치도 춘천시 남산면 남이섬길 1,,32,13,raw/q08_p0001.json,주소가 강원특별자치도 춘천시로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,2676217,39,유기농카페,강원특별자치도 춘천시 신북읍 지내고탄로 184,,32,13,raw/q08_p0001.json,주소가 강원특별자치도 춘천시로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,3458390,39,카페 264,강원특별자치도 원주시 서원대로 264 (단계동),,32,9,raw/q08_p0001.json,주소가 강원특별자치도 원주시로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,736117,39,풀내음,강원특별자치도 평창군 봉평면 메밀꽃길 13,,32,15,raw/q08_p0001.json,주소가 강원특별자치도 평창군로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,2575832,32,눈꽃여행,전북특별자치도 무주군 설천면 내배방길 22,,37,5,raw/q09_p0001.json,주소가 전북특별자치도 무주군로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,3532632,32,등불의 집,전북특별자치도 군산시 구영신창길 64 (신창동),,37,2,raw/q09_p0001.json,주소가 전북특별자치도 군산시로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,2528107,32,샤니모텔,전북특별자치도 부안군 동중3길 18,,37,6,raw/q09_p0001.json,주소가 전북특별자치도 부안군로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
unmatched_address,2699322,32,양지 뜰 펜션(무주양지뜰펜션),전북특별자치도 무주군 설천면 보안길 90,,37,5,raw/q09_p0001.json,주소가 전북특별자치도 무주군로 비교 후보 5개 도시 밖에 있음. 현재 24행 모두 주소가 존재함.,unmatched_address는 주소 누락만 의미하지 않으며 대상 지역 밖도 포함.,Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place()
