content_id,content_type_id,title,addr1,addr2,area_code,sigungu_code,mapx,mapy,query_area_code,query_content_type_id,source_file,주석_입력원문,주석_변환,주석_근거함수,주석_해석
2700223,32,블루오션펜션,인천광역시 영종구 영종진광장로 52,(중산동),2,10,126.5789899894,37.4962469840,2,32,raw/q01_p0001.json,runs/pet_api_20260919_183904/raw/q01_p0001.json,contentid=2700223 → content_id; contenttypeid=32 → content_type_id; areacode=2 → area_code. 이름·주소·좌표를 보존하고 query_*와 source_file을 추가.,Together_with_my_dog_cityselection/fetch_pet_tourapi.py:60 normalise_place(),API 등록 콘텐츠. 이 단계는 중복 제거·후보 도시 분류·반려견 규정 확인을 하지 않음.
2848931,39,개떼놀이터 인천점,인천광역시 계양구 다남로 278 (목상동),,2,2,126.7089010642,37.5703323291,2,39,raw/q02_p0001.json,runs/pet_api_20260919_183904/raw/q02_p0001.json,contentid=2848931 → content_id; contenttypeid=39 → content_type_id; areacode=2 → area_code. 이름·주소·좌표를 보존하고 query_*와 source_file을 추가.,Together_with_my_dog_cityselection/fetch_pet_tourapi.py:60 normalise_place(),API 등록 콘텐츠. 이 단계는 중복 제거·후보 도시 분류·반려견 규정 확인을 하지 않음.
3533154,32,빨간대문,대전광역시 동구 계족로 194-1 (대동),,3,2,127.4418384792,36.3308438742,3,32,raw/q03_p0001.json,runs/pet_api_20260919_183904/raw/q03_p0001.json,contentid=3533154 → content_id; contenttypeid=32 → content_type_id; areacode=3 → area_code. 이름·주소·좌표를 보존하고 query_*와 source_file을 추가.,Together_with_my_dog_cityselection/fetch_pet_tourapi.py:60 normalise_place(),API 등록 콘텐츠. 이 단계는 중복 제거·후보 도시 분류·반려견 규정 확인을 하지 않음.
2754601,32,더펫텔프리미엄스위트,부산광역시 해운대구 해운대해변로197번길 12,,6,16,129.1531418525,35.1592408683,6,32,raw/q05_p0001.json,runs/pet_api_20260919_183904/raw/q05_p0001.json,contentid=2754601 → content_id; contenttypeid=32 → content_type_id; areacode=6 → area_code. 이름·주소·좌표를 보존하고 query_*와 source_file을 추가.,Together_with_my_dog_cityselection/fetch_pet_tourapi.py:60 normalise_place(),API 등록 콘텐츠. 이 단계는 중복 제거·후보 도시 분류·반려견 규정 확인을 하지 않음.
2699563,32,옐로우라이트하우스,부산광역시 수영구 광안해변로370번길 9-32,(민락동),6,12,129.1343130018,35.1567852389,6,32,raw/q05_p0001.json,runs/pet_api_20260919_183904/raw/q05_p0001.json,contentid=2699563 → content_id; contenttypeid=32 → content_type_id; areacode=6 → area_code. 이름·주소·좌표를 보존하고 query_*와 source_file을 추가.,Together_with_my_dog_cityselection/fetch_pet_tourapi.py:60 normalise_place(),API 등록 콘텐츠. 이 단계는 중복 제거·후보 도시 분류·반려견 규정 확인을 하지 않음.
2622984,32,캔버스,부산광역시 해운대구 해운대해변로197번길 13,(우동),6,16,129.1526891145,35.1592353048,6,32,raw/q05_p0001.json,runs/pet_api_20260919_183904/raw/q05_p0001.json,contentid=2622984 → content_id; contenttypeid=32 → content_type_id; areacode=6 → area_code. 이름·주소·좌표를 보존하고 query_*와 source_file을 추가.,Together_with_my_dog_cityselection/fetch_pet_tourapi.py:60 normalise_place(),API 등록 콘텐츠. 이 단계는 중복 제거·후보 도시 분류·반려견 규정 확인을 하지 않음.
2663616,32,캔버스 블랙,부산광역시 해운대구 해운대해변로197번길 14,(우동),6,16,129.1530057486,35.1594102909,6,32,raw/q05_p0001.json,runs/pet_api_20260919_183904/raw/q05_p0001.json,contentid=2663616 → content_id; contenttypeid=32 → content_type_id; areacode=6 → area_code. 이름·주소·좌표를 보존하고 query_*와 source_file을 추가.,Together_with_my_dog_cityselection/fetch_pet_tourapi.py:60 normalise_place(),API 등록 콘텐츠. 이 단계는 중복 제거·후보 도시 분류·반려견 규정 확인을 하지 않음.
2705418,32,해운대 영무파라드호텔,부산광역시 해운대구 해운대해변로298번길 25 (중동),,6,16,129.1665100882,35.1609381479,6,32,raw/q05_p0001.json,runs/pet_api_20260919_183904/raw/q05_p0001.json,contentid=2705418 → content_id; contenttypeid=32 → content_type_id; areacode=6 → area_code. 이름·주소·좌표를 보존하고 query_*와 source_file을 추가.,Together_with_my_dog_cityselection/fetch_pet_tourapi.py:60 normalise_place(),API 등록 콘텐츠. 이 단계는 중복 제거·후보 도시 분류·반려견 규정 확인을 하지 않음.
3443614,39,원시학,부산광역시 해운대구 우동1로20번가길 31 (우동),,6,16,129.1583939802,35.1662790660,6,39,raw/q06_p0001.json,runs/pet_api_20260919_183904/raw/q06_p0001.json,contentid=3443614 → content_id; contenttypeid=39 → content_type_id; areacode=6 → area_code. 이름·주소·좌표를 보존하고 query_*와 source_file을 추가.,Together_with_my_dog_cityselection/fetch_pet_tourapi.py:60 normalise_place(),API 등록 콘텐츠. 이 단계는 중복 제거·후보 도시 분류·반려견 규정 확인을 하지 않음.
3540230,32,고심스테이,강원특별자치도 강릉시 사천면 너다리길 87,,32,1,128.8508794218,37.8339666020,32,32,raw/q07_p0001.json,runs/pet_api_20260919_183904/raw/q07_p0001.json,contentid=3540230 → content_id; contenttypeid=32 → content_type_id; areacode=32 → area_code. 이름·주소·좌표를 보존하고 query_*와 source_file을 추가.,Together_with_my_dog_cityselection/fetch_pet_tourapi.py:60 normalise_place(),API 등록 콘텐츠. 이 단계는 중복 제거·후보 도시 분류·반려견 규정 확인을 하지 않음.
