content_id,content_type_id,category,region_code,region_name,classification_method,title,addr1,addr2,area_code,sigungu_code,source_file,주석_정제,주석_출처,주석_지역코드,주석_근거함수,주석_제외열
2700223,32,lodging,28,인천광역시,address,블루오션펜션,인천광역시 영종구 영종진광장로 52,(중산동),2,10,raw/q01_p0001.json,content_id로 중복 제거 후 type=32를 lodging로 분류. addr1+addr2 주소가 인천광역시에 해당하여 포함.,runs/pet_api_20260919_183904/raw/q01_p0001.json,관광 area_code=2를 직접 조인하지 않고 지역 분류 결과의 행정 region_code=28를 부여.,Together_with_my_dog_cityselection/analyze_pet_supply.py:189 normalise_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:286 main(),"places.csv의 mapx/mapy, query_area_code/query_content_type_id는 이 출력에 저장하지 않음. 시설 수 집계에 좌표는 사용하지 않음."
2848931,39,restaurant,28,인천광역시,address,개떼놀이터 인천점,인천광역시 계양구 다남로 278 (목상동),,2,2,raw/q02_p0001.json,content_id로 중복 제거 후 type=39를 restaurant로 분류. addr1+addr2 주소가 인천광역시에 해당하여 포함.,runs/pet_api_20260919_183904/raw/q02_p0001.json,관광 area_code=2를 직접 조인하지 않고 지역 분류 결과의 행정 region_code=28를 부여.,Together_with_my_dog_cityselection/analyze_pet_supply.py:189 normalise_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:286 main(),"places.csv의 mapx/mapy, query_area_code/query_content_type_id는 이 출력에 저장하지 않음. 시설 수 집계에 좌표는 사용하지 않음."
3533154,32,lodging,30,대전광역시,address,빨간대문,대전광역시 동구 계족로 194-1 (대동),,3,2,raw/q03_p0001.json,content_id로 중복 제거 후 type=32를 lodging로 분류. addr1+addr2 주소가 대전광역시에 해당하여 포함.,runs/pet_api_20260919_183904/raw/q03_p0001.json,관광 area_code=3를 직접 조인하지 않고 지역 분류 결과의 행정 region_code=30를 부여.,Together_with_my_dog_cityselection/analyze_pet_supply.py:189 normalise_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:286 main(),"places.csv의 mapx/mapy, query_area_code/query_content_type_id는 이 출력에 저장하지 않음. 시설 수 집계에 좌표는 사용하지 않음."
2754601,32,lodging,26,부산광역시,address,더펫텔프리미엄스위트,부산광역시 해운대구 해운대해변로197번길 12,,6,16,raw/q05_p0001.json,content_id로 중복 제거 후 type=32를 lodging로 분류. addr1+addr2 주소가 부산광역시에 해당하여 포함.,runs/pet_api_20260919_183904/raw/q05_p0001.json,관광 area_code=6를 직접 조인하지 않고 지역 분류 결과의 행정 region_code=26를 부여.,Together_with_my_dog_cityselection/analyze_pet_supply.py:189 normalise_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:286 main(),"places.csv의 mapx/mapy, query_area_code/query_content_type_id는 이 출력에 저장하지 않음. 시설 수 집계에 좌표는 사용하지 않음."
2699563,32,lodging,26,부산광역시,address,옐로우라이트하우스,부산광역시 수영구 광안해변로370번길 9-32,(민락동),6,12,raw/q05_p0001.json,content_id로 중복 제거 후 type=32를 lodging로 분류. addr1+addr2 주소가 부산광역시에 해당하여 포함.,runs/pet_api_20260919_183904/raw/q05_p0001.json,관광 area_code=6를 직접 조인하지 않고 지역 분류 결과의 행정 region_code=26를 부여.,Together_with_my_dog_cityselection/analyze_pet_supply.py:189 normalise_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:286 main(),"places.csv의 mapx/mapy, query_area_code/query_content_type_id는 이 출력에 저장하지 않음. 시설 수 집계에 좌표는 사용하지 않음."
2622984,32,lodging,26,부산광역시,address,캔버스,부산광역시 해운대구 해운대해변로197번길 13,(우동),6,16,raw/q05_p0001.json,content_id로 중복 제거 후 type=32를 lodging로 분류. addr1+addr2 주소가 부산광역시에 해당하여 포함.,runs/pet_api_20260919_183904/raw/q05_p0001.json,관광 area_code=6를 직접 조인하지 않고 지역 분류 결과의 행정 region_code=26를 부여.,Together_with_my_dog_cityselection/analyze_pet_supply.py:189 normalise_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:286 main(),"places.csv의 mapx/mapy, query_area_code/query_content_type_id는 이 출력에 저장하지 않음. 시설 수 집계에 좌표는 사용하지 않음."
2663616,32,lodging,26,부산광역시,address,캔버스 블랙,부산광역시 해운대구 해운대해변로197번길 14,(우동),6,16,raw/q05_p0001.json,content_id로 중복 제거 후 type=32를 lodging로 분류. addr1+addr2 주소가 부산광역시에 해당하여 포함.,runs/pet_api_20260919_183904/raw/q05_p0001.json,관광 area_code=6를 직접 조인하지 않고 지역 분류 결과의 행정 region_code=26를 부여.,Together_with_my_dog_cityselection/analyze_pet_supply.py:189 normalise_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:286 main(),"places.csv의 mapx/mapy, query_area_code/query_content_type_id는 이 출력에 저장하지 않음. 시설 수 집계에 좌표는 사용하지 않음."
2705418,32,lodging,26,부산광역시,address,해운대 영무파라드호텔,부산광역시 해운대구 해운대해변로298번길 25 (중동),,6,16,raw/q05_p0001.json,content_id로 중복 제거 후 type=32를 lodging로 분류. addr1+addr2 주소가 부산광역시에 해당하여 포함.,runs/pet_api_20260919_183904/raw/q05_p0001.json,관광 area_code=6를 직접 조인하지 않고 지역 분류 결과의 행정 region_code=26를 부여.,Together_with_my_dog_cityselection/analyze_pet_supply.py:189 normalise_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:286 main(),"places.csv의 mapx/mapy, query_area_code/query_content_type_id는 이 출력에 저장하지 않음. 시설 수 집계에 좌표는 사용하지 않음."
3443614,39,restaurant,26,부산광역시,address,원시학,부산광역시 해운대구 우동1로20번가길 31 (우동),,6,16,raw/q06_p0001.json,content_id로 중복 제거 후 type=39를 restaurant로 분류. addr1+addr2 주소가 부산광역시에 해당하여 포함.,runs/pet_api_20260919_183904/raw/q06_p0001.json,관광 area_code=6를 직접 조인하지 않고 지역 분류 결과의 행정 region_code=26를 부여.,Together_with_my_dog_cityselection/analyze_pet_supply.py:189 normalise_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:286 main(),"places.csv의 mapx/mapy, query_area_code/query_content_type_id는 이 출력에 저장하지 않음. 시설 수 집계에 좌표는 사용하지 않음."
3540230,32,lodging,51150,강릉시,address,고심스테이,강원특별자치도 강릉시 사천면 너다리길 87,,32,1,raw/q07_p0001.json,content_id로 중복 제거 후 type=32를 lodging로 분류. addr1+addr2 주소가 강릉시에 해당하여 포함.,runs/pet_api_20260919_183904/raw/q07_p0001.json,관광 area_code=32를 직접 조인하지 않고 지역 분류 결과의 행정 region_code=51150를 부여.,Together_with_my_dog_cityselection/analyze_pet_supply.py:189 normalise_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:111 classify_place(); Together_with_my_dog_cityselection/analyze_pet_supply.py:286 main(),"places.csv의 mapx/mapy, query_area_code/query_content_type_id는 이 출력에 저장하지 않음. 시설 수 집계에 좌표는 사용하지 않음."
